author,n_seed_dois_cited,n_citing_works,seed_dois
Sylvie Borau,1,2,10.2139/ssrn.3938994
Thang Ngoc Bach,1,2,10.3386/w31137
Thato Letsomo,1,2,10.3386/w31208
Theresa K. Meyer,1,2,10.1016/j.ijdrr.2022.102798
Thomas Giroux,1,2,10.3386/w31137
Thorsten Staake,1,2,10.3386/w28726
Tingwei Luo,1,2,10.1257/aer.20221215
Tingyu Yu,1,2,10.3386/w31137
Tobias Kollmann,1,2,10.3386/w23928
Tobias Schimanski,1,2,10.3386/w31137
Tomas Folke,1,2,10.2139/ssrn.4154000
Tomohiko Endo,1,2,10.1111/conl.13077
Tristan Reed,1,2,10.1257/pandp.20201017
Tzu‐Pi Chen,1,2,10.1111/conl.13077
Uri Schattner,1,2,10.3386/w26752
V. Mironov,1,2,10.3386/w23928
Verena Tiefenbeck,1,2,10.3386/w28726
Veronika Cheplygina,1,2,10.3386/w26752
Vis Taraz,1,2,10.3386/w23929
Wei Zhang,1,2,10.1257/aer.20221215
Wei‐Ting Chen,1,2,10.1111/conl.13077
Wenbiao Sha,1,2,10.1257/aer.20221215
