author,n_seed_dois_cited,n_citing_works,seed_dois
Elham Einafshar,1,1,10.1093/wbro/lkae010
Elia Apostolopoulou,1,1,10.3386/w32450
Elira Hoxha,1,1,10.3386/w23928
Elisa F Long,1,1,10.1257/pandp.20201017
Elisabeth Gsottbauer,1,1,10.3386/w30740
Elisabeth Kempf,1,1,10.3386/w32073
Elisabetta Aurino,1,1,10.3386/w31208
Elizabeth Losos,1,1,10.1257/pandp.20201017
Elizabeth Rhodes,1,1,10.2139/ssrn.4154000
Elizabeth Seger,1,1,10.48550/arxiv.2305.07153
Elizabeth W. Dunn,1,1,10.3386/w28106
Elkin Alexi Noguera Urbano,1,1,10.21203/rs.3.rs-3235955/v1
Ellen Matthies,1,1,10.3386/w30011
Ellen V. Muir,1,1,10.1257/pandp.20201017
Elliott Thornley,1,1,10.1016/j.cognition.2021.104941
Elmar Veenendaal,1,1,10.21203/rs.3.rs-3235955/v1
Elona Toska,1,1,10.3386/w28106
Elvin Geng,1,1,10.3386/w28726
Elvis Korku Avenyo,1,1,10.3386/w23928
Emil N. Sørensen,1,1,10.3386/w31162
Emilia Simeonova,1,1,10.3386/w28106
Emiliana Vegas,1,1,10.3386/w31208
Emilio Bisetti,1,1,10.1257/aer.20221215
Emilio Esguerra,1,1,10.1093/ej/uead102
Emily Dardaman,1,1,10.48550/arxiv.2305.07153
Emily Hoppe,1,1,10.3386/w28726
Emir Murathanoglu,1,1,10.3386/w23929
Emma Bluemke,1,1,10.48550/arxiv.2305.07153
Emma Levine,1,1,10.1016/j.cognition.2021.104941
Emma Näslund-Hadley,1,1,10.3386/w31208
Emmanouil Chatzikonstantinou,1,1,10.3386/w23928
Emmanuel Kemel,1,1,10.3386/w30740
Emmanuel Orkoh,1,1,10.3386/w23929
Emmanuel Paroissien,1,1,10.3386/w30740
Emmanuel Tumusiime,1,1,10.3386/w28106
Enola K. Proctor,1,1,10.3386/w28726
Enrique Fernández‐Macías,1,1,10.3386/w23928
Enze Zhang,1,1,10.1257/aer.20221215
Eoghan Stafford,1,1,10.48550/arxiv.2305.07153
Eran Bendavid,1,1,10.1093/wbro/lkae010
Eric Budish,1,1,10.3386/w26775
Eric Mvukiyehe,1,1,10.3386/w23929
Eric Reinhart,1,1,10.3386/w28106
Eric Schwitzgebel,1,1,10.1016/j.cognition.2021.104941
Erica Field,1,1,10.3386/w31162
Erica L. Plambeck,1,1,10.1093/wbro/lkae010
Erica T. Warner,1,1,10.3386/w28726
Erik Engberg,1,1,10.3386/w26752
Erika A. Waters,1,1,10.2139/ssrn.3938994
Erin L. Connolly,1,1,10.1016/j.ijdrr.2022.102798
Erin Leahey,1,1,10.3386/w26752
Erkki Mervaala,1,1,10.3386/w32450
Ernest Owusu Boakye,1,1,10.3386/w31137
Espinosa Oscar,1,1,10.1257/pandp.20201017
Estibaliz Díaz,1,1,10.1111/conl.13077
Eugen Dimant,1,1,10.3386/w28726
Eva Steiner,1,1,10.3386/w31137
Eva Vivalt,1,1,10.3386/w28106
Evan C. Storms,1,1,10.3386/w28726
Evangelia Georgia Kostaki,1,1,10.3386/w31899
Eva‐Marie Meemken,1,1,10.3386/w31354
Evelien van de Veer,1,1,10.2139/ssrn.3938994
Evelina Gavrilova,1,1,10.3386/w28726
F. T. Wu,1,1,10.1257/aer.20221215
Fabian Stephany,1,1,10.3386/w23928
Fabio Manca,1,1,10.3386/w23928
Fabrice Lenseigne,1,1,10.3386/w23928
Facundo Albornoz,1,1,10.3386/w31208
Fahad K. Alkhaldi,1,1,10.3386/w23928
Fahmida Tofail,1,1,10.3386/w28106
Fang Zhang,1,1,10.3386/w23928
Fangjie Si,1,1,10.1257/aer.20221215
Fangwen Lu,1,1,10.3386/w28726
Fanlue Li,1,1,10.1257/aer.20221215
Farheen Khan,1,1,10.3386/w28106
Fatima Cody Stanford,1,1,10.3386/w28726
Fattreza Ihsan,1,1,10.1111/conl.13077
Federico Ciliberto,1,1,10.1257/pandp.20201017
Federico Gómez,1,1,10.3386/w26752
Federico Niccoló Daverio Occhini,1,1,10.1093/ej/uead102
Fei Teng,1,1,10.3386/w32450
Fei Wu,1,1,10.3386/w31137
Feifan Liu,1,1,10.3386/w26752
Feiran Wang,1,1,10.1257/aer.20221215
Feiyi Wang,1,1,10.3386/w26752
Felipe González,1,1,10.3386/w33018
Felix Tintelnot,1,1,10.3386/w32728
Feng Guo,1,1,10.1257/aer.20221215
Feng He,1,1,10.1257/aer.20221215
Feng Huang,1,1,10.1257/aer.20221215
Feng Zhang,1,1,10.3386/w31899
Fernanda Bravo,1,1,10.1257/pandp.20201017
Fernando Aguiar,1,1,10.1016/j.cognition.2021.104941
Fernando Martínez‐Plumed,1,1,10.3386/w26752
Finn Tarp,1,1,10.3386/w28106
Fiona Burlig,1,1,10.3386/w30011
Fionnuala Seiferth,1,1,10.2139/ssrn.4154000
Flavio Calvino,1,1,10.3386/w23928
Florence Aketch,1,1,10.3386/w28726
Florent Vieux,1,1,10.3386/w30740
Florian E. Dorner,1,1,10.3386/w23928
Florian Habermacher,1,1,10.3386/w30740
Floris Zoutman,1,1,10.3386/w28726
Flávio Barboza,1,1,10.3386/w23928
Forhad Shilpi,1,1,10.3386/w23929
Frances C. Moore,1,1,10.3386/w29357
Francesco Bilotta,1,1,10.3386/w32073
Francesco Di Gioia,1,1,10.1016/j.ijdrr.2022.102798
Francesco Rentocchini,1,1,10.3386/w23928
Francesco Trebbi,1,1,10.3386/w32728
Francine Loza,1,1,10.3386/w28726
Francis Wong,1,1,10.2139/ssrn.4154000
Francisco Blanco‐Garrido,1,1,10.1111/conl.13077
Francisco Del Villar,1,1,10.1257/pandp.20201017
Francisco Estrada,1,1,10.3386/w32450
Francisco Muñoz,1,1,10.3386/w33018
Frank Gyimah Sackey,1,1,10.3386/w23929
Frank Hutter,1,1,10.48550/arxiv.2305.07153
Frans Bongers,1,1,10.21203/rs.3.rs-3235955/v1
François Legendre,1,1,10.3386/w23928
François Sémécurbe,1,1,10.3386/w23928
Fred D’Agostino,1,1,10.3386/w26752
Frederic Hanusch,1,1,10.1016/j.ijdrr.2022.102798
Fukang Chen,1,1,10.1257/aer.20221215
Fulvia Marotta,1,1,10.3386/w31137
Fusuo Zhang,1,1,10.1257/aer.20221215
Fırat Şahin,1,1,10.3386/w23928
G. J. Lane,1,1,10.3386/w30011
Gabriel Andrade,1,1,10.1016/j.cognition.2021.104941
Gabriella M. McLoughlin,1,1,10.3386/w28726
Gail E. Austen,1,1,10.1111/conl.13077
Gangdong Peng,1,1,10.3386/w23928
Ganjar Cahyadi,1,1,10.1111/conl.13077
Gaurab Aryal,1,1,10.1257/pandp.20201017
Gautam Anand,1,1,10.3386/w30835
Gautam Rao,1,1,10.3386/w28106
Gaël Varoquaux,1,1,10.3386/w26752
Gbenga Adamolekun,1,1,10.3386/w31137
Ge Zhang,1,1,10.1257/aer.20221215
Geeta Soohinda,1,1,10.1257/aeri.20210612
Gelson Tembo,1,1,10.3386/w28106
Geneviève Savoie‐Dansereau,1,1,10.3386/w23928
Geng Huang,1,1,10.3386/w23928
Genia Kostka,1,1,10.1257/aer.20221215
Geoffrey E. Hinton,1,1,10.48550/arxiv.2305.07153
Geoffrey Heal,1,1,10.3386/w31137
Geoffrey Wood,1,1,10.1257/aer.20221215
George Giannakopoulos,1,1,10.3386/w23928
George Notas,1,1,10.2139/ssrn.4154000
George Psacharopoulos,1,1,10.3386/w31208
Georgia D. Tourassi,1,1,10.3386/w26752
Gerrit von Zedlitz,1,1,10.3386/w31137
Gesa Hartwigsen,1,1,10.3386/w30011
Geyi Zheng,1,1,10.1257/aeri.20210612
Ghislain Bisimwa,1,1,10.3386/w28106
Giacomo Manferdini,1,1,10.3386/w32073
Giacomo Pallante,1,1,10.3386/w30740
Giampaolo Abate Romero Ladini,1,1,10.2139/ssrn.4154000
Giancarlo Spagnolo,1,1,10.1257/pandp.20201017
Gideon Ndubuisi,1,1,10.3386/w23928
Gillian K. Hadfield,1,1,10.48550/arxiv.2305.07153
Gillian Sawyer,1,1,10.3386/w26775
Ginger Zhe Jin,1,1,10.3386/w23929
Giovanna Michelon,1,1,10.1257/aer.20221215
Giray Gözgör,1,1,10.3386/w31137
Girija Bahety,1,1,10.3386/w28726
Giuseppe Dal Prá,1,1,10.1016/j.ijdrr.2022.102798
Giuseppe Rimo,1,1,10.3386/w31137
Glen Gostlow,1,1,10.3386/w31137
Gloria Liou,1,1,10.2139/ssrn.4154000
Goboori Harsh Vardhan,1,1,10.3386/w23928
Godfred Anakpo,1,1,10.3386/w23928
Golnaz Bahrami,1,1,10.3386/w31137
Gonzalo Almeyda,1,1,10.3386/w31208
Gonzalo Arrieta,1,1,10.3386/w30011
Grace C. Huang,1,1,10.3386/w28726
Granger Morgan,1,1,10.1257/pandp.20201017
Grant M Gordon,1,1,10.1257/pandp.20201017
Grant Royd Howard,1,1,10.48550/arxiv.2305.07153
Graziano Moramarco,1,1,10.3386/w32450
Gregor Weiß,1,1,10.3386/w31137
Gregory Sun,1,1,10.3386/w30740
Guanfu Fang,1,1,10.3386/w23928
Guglielmo Zappalà,1,1,10.3386/w32728
Guilherme Lichand,1,1,10.3386/w31208
Guillaume Coqueret,1,1,10.3386/w31137
Guillem Bas,1,1,10.48550/arxiv.2305.07153
Guillermo Lagarda,1,1,10.3386/w23928
Guo Jianxin,1,1,10.1257/aer.20221215
Guoying Li,1,1,10.3386/w23928
Gurubala Kotta,1,1,10.3386/w31137
Gwen Yu,1,1,10.1257/aer.20221215
Gábor Neszveda,1,1,10.2139/ssrn.4154000
H. Kressel,1,1,10.3386/w26752
Habil Otanga,1,1,10.3386/w28106
Hai Liang,1,1,10.1257/aer.20221215
Haichao Fan,1,1,10.3386/w23928
Haichao Liu,1,1,10.1093/ej/uead102
Haijiang Li,1,1,10.1257/aer.20221215
Haijun Xu,1,1,10.1257/aer.20221215
Hailemariam Ayalew,1,1,10.3386/w28726
Haiqin Wang,1,1,10.3386/w23928
Hairu Lang,1,1,10.3386/w30740
Hakan Yilmazkuday,1,1,10.3386/w23928
Halil İbrahim Koruca,1,1,10.3386/w23928
Hamdi Becha,1,1,10.3386/w23928
Hamid Beladi,1,1,10.1257/aeri.20230431
Hamid R. Oskorouchi,1,1,10.3386/w30202
Han Liang,1,1,10.3386/w23928
Han Woo Park,1,1,10.3386/w23928
Hankun Yuan,1,1,10.3386/w23928
Hanlin Wu,1,1,10.3386/w31137
Hannah Kettler,1,1,10.1257/pandp.20201017
Hansen Zhang,1,1,10.3386/w31899
Hans‐Peter Kohler,1,1,10.3386/w28726
Hanxiong Zhang,1,1,10.3386/w31137
Hanène Babay,1,1,10.3386/w23928
Haojie Wu,1,1,10.1257/aer.20221215
Haowei Yu,1,1,10.1257/aer.20221215
Haoxiang Xia,1,1,10.3386/w26752
Haoyu Gao,1,1,10.1257/aer.20221215
Harini Kannan,1,1,10.3386/w28726
Harm Bartholomeus,1,1,10.21203/rs.3.rs-3235955/v1
Harmony N. Arcilla,1,1,10.2139/ssrn.4154000
Harounan Kazianga,1,1,10.3386/w28106
Harris Selod,1,1,10.3386/w23929
Harshavardhan Sampath,1,1,10.1257/aeri.20210612
Harshita Yadav,1,1,10.3386/w30011
Hasan Ghura,1,1,10.3386/w23928
Hasna Chaibi,1,1,10.3386/w23928
Hassan Zaman,1,1,10.3386/w23929
Hawthorne L. Beyer,1,1,10.21203/rs.3.rs-3235955/v1
Heather Orom,1,1,10.2139/ssrn.3938994
Heather Schofield,1,1,10.3386/w28106
Heidi Stöckl,1,1,10.3386/w28106
Heiko Roßnagel,1,1,10.3386/w23928
Helal Uddin Ahmed,1,1,10.3386/w28106
Helen Crabbe,1,1,10.1093/wbro/lkae010
Helen Rees,1,1,10.1257/pandp.20201017
Helena Naffa,1,1,10.3386/w31137
Helene Purcell,1,1,10.3386/w28726
Hema Shah,1,1,10.2139/ssrn.4154000
Henning Vöpel,1,1,10.3386/w23928
Henry G. Grabowski,1,1,10.3386/w26775
Herbert Kimura,1,1,10.3386/w23928
Herrera Andrés,1,1,10.1257/pandp.20201017
Hicham Sadok,1,1,10.3386/w23928
Hidemichi Fujii,1,1,10.3386/w23928
Hoa Briscoe-Tran,1,1,10.3386/w31137
Hoa Trần Thị Vân,1,1,10.3386/w23928
Holger Brandt,1,1,10.3386/w30011
Holger J. Schmidt,1,1,10.3386/w23928
Holger Schmidt,1,1,10.3386/w23928
Hong Song,1,1,10.3386/w31137
Hongjie Zhang,1,1,10.1257/aer.20221215
Hongmei Ma,1,1,10.3386/w23928
Hongqiang Jiang,1,1,10.1257/aer.20221215
Hongwei Yu,1,1,10.1257/aer.20221215
Hongyuan Zhang,1,1,10.3386/w23928
Hongyun Huang,1,1,10.1257/aer.20221215
Hooman Habibnia,1,1,10.2139/ssrn.3938994
Horacio Larreguy,1,1,10.3386/w28726
Houda Mahboub,1,1,10.3386/w23928
Howard Hu,1,1,10.1093/wbro/lkae010
Hua Feng,1,1,10.3386/w23928
Hua Zhang,1,1,10.1257/aer.20221215
Huangsheng Su,1,1,10.1257/aer.20221215
Huangxin Chen,1,1,10.1257/aer.20221215
Huanhuan Wang,1,1,10.1257/aer.20221215
Huasheng Song,1,1,10.3386/w31899
Hugh M. Cartwright,1,1,10.3386/w26752
Hugo Confraria,1,1,10.3386/w26752
Hugo Viciana,1,1,10.1016/j.cognition.2021.104941
Hui Wang,1,1,10.3386/w23928
Hui Xu,1,1,10.1257/aer.20221215
Hui-Ngo Goh,1,1,10.3386/w23928
Huijuan Wang,1,1,10.3386/w23928
Hunt Allcott,1,1,10.3386/w32728
Huong Quynh Nguyen,1,1,10.3386/w23928
Huzhou Zhu,1,1,10.3386/w23928
Hyeyoon Jung,1,1,10.3386/w31137
Hyuk Chung,1,1,10.3386/w23928
Hyunjung Choi,1,1,10.3386/w28106
Hélène Dernis,1,1,10.3386/w23928
I. D. Konovalova,1,1,10.3386/w23928
I. Firth,1,1,10.1257/pandp.20201017
Ichiro Kawachi,1,1,10.3386/w28726
Ifeoma Idigbe,1,1,10.3386/w30835
Ignacio A. Ciampitti,1,1,10.3386/w26752
Ignacio Palacios‐Huerta,1,1,10.3386/w26752
Ignas Bernotas,1,1,10.3386/w31899
Igor Francetić,1,1,10.3386/w30011
Iliana V. Kohler,1,1,10.3386/w28726
Ilija Ćosić,1,1,10.3386/w23928
Ilknur Zer,1,1,10.3386/w31137
Inaoyom Imong,1,1,10.1111/conl.13077
Ingvild Almås,1,1,10.3386/w28106
Intan Khairina Adlina Ahmad,1,1,10.3386/w23928
International Transport Forum,1,1,10.3386/w23928
Irina Tatomyr,1,1,10.3386/w23928
Irma Arteaga,1,1,10.3386/w31208
Irma Khonelidze,1,1,10.1093/wbro/lkae010
Isabel Reynoso,1,1,10.3386/w32450
Isaiah Andrews,1,1,10.3386/w28726
Ishmael Tingbani,1,1,10.3386/w23928
Ismaïl Berrada,1,1,10.3386/w23928
Ivan Soraperra,1,1,10.2139/ssrn.3938994
Ivy Johnson,1,1,10.1016/j.ijdrr.2022.102798
Iván Torre,1,1,10.3386/w28726
J Jesse,1,1,10.3386/w23928
J. C. Castillo,1,1,10.3386/w26775
J. C. Liu,1,1,10.3386/w28726
J. E. M. Robinson,1,1,10.1257/pandp.20201017
J. Gonzales,1,1,10.3386/w23928
J. Jackson Ewing,1,1,10.1257/aer.20221215
J. P. Sevilla,1,1,10.3386/w26775
Jack W. Scannell,1,1,10.3386/w26752
Jacob Bronsther,1,1,10.3386/w32450
Jacob Cates,1,1,10.1016/j.ijdrr.2022.102798
Jacopo Bonan,1,1,10.3386/w28726
Jae-Woong Kim,1,1,10.3386/w28106
Jahnab Bharadwa,1,1,10.3386/w26752
Jahnab Bharadwaj,1,1,10.3386/w26752
Jaime Ros,1,1,10.3386/w23928
Jaime Sevilla,1,1,10.48550/arxiv.2305.07153
James A. Evans,1,1,10.3386/w23928
James Mulhall,1,1,10.1016/j.ijdrr.2022.102798
James Mwera,1,1,10.3386/w28726
James R. Otieno,1,1,10.3386/w28726
James S. Potter,1,1,10.3386/w28726
James T. Erbaugh,1,1,10.1257/aer.20221215
James Throup,1,1,10.1016/j.ijdrr.2022.102798
James Watson,1,1,10.21203/rs.3.rs-3235955/v1
Jamile Youssef,1,1,10.3386/w31208
Jan Brauner,1,1,10.48550/arxiv.2305.07153
Jana Cahlíková,1,1,10.3386/w28726
Jane Hammaker,1,1,10.1257/pandp.20201017
Janne Estill,1,1,10.3386/w28106
Jari S. Algethami,1,1,10.3386/w30835
Jason Mwanza,1,1,10.3386/w28106
Jason Potts,1,1,10.3386/w23928
Jaspreet Pannu,1,1,10.1257/pandp.20201017
Javed Hossain,1,1,10.3386/w23928
Javier D. Donna,1,1,10.3386/w31354
Jean N. Lee,1,1,10.3386/w23929
Jean Nahrae Lee,1,1,10.3386/w26775
Jean Robert Kala Kamdjoug,1,1,10.3386/w23928
Jean-Luc Tavernier,1,1,10.3386/w23928
Jean-Pierre Landau,1,1,10.3386/w32450
Jeff Clune,1,1,10.48550/arxiv.2305.07153
Jeff Malpas,1,1,10.3386/w26752
Jeffray Behr,1,1,10.1016/j.ijdrr.2022.102798
Jeffrey B. Liebman,1,1,10.2139/ssrn.4154000
Jeffrey R. Vincent,1,1,10.21203/rs.3.rs-3235955/v1
Jeffrey Sachs,1,1,10.3386/w23928
Jena D. Hamadani,1,1,10.3386/w28106
Jeng-Bau Lin,1,1,10.3386/w32450
Jenifer Clapp,1,1,10.2139/ssrn.4154000
Jenna Allard,1,1,10.3386/w23929
Jenna E. Forsyth,1,1,10.1093/wbro/lkae010
Jennifer A. Campbell,1,1,10.2139/ssrn.4154000
Jennifer L. Baker,1,1,10.3386/w31162
Jennifer L. Hay,1,1,10.2139/ssrn.3938994
Jennifer T. Lai,1,1,10.3386/w23928
Jennifer Wilson,1,1,10.3386/w28106
Jenny Carolina Hernández Cardozo,1,1,10.3386/w31208
Jeromin Zettelmeyer,1,1,10.3386/w32450
Jesmin Sultana,1,1,10.1093/wbro/lkae010
Jess Cornaggia,1,1,10.3386/w31137
Jesse Ribot,1,1,10.1257/aer.20221215
Jessica Goldberg,1,1,10.3386/w28726
Jessica Schmeiss,1,1,10.3386/w23928
Jessie Sun,1,1,10.1016/j.cognition.2021.104941
Jesús Fernández‐Villaverde,1,1,10.3386/w31137
Jhonathan Rodríguez,1,1,10.1257/pandp.20201017
Ji Lu,1,1,10.1257/aer.20221215
Jia Xu,1,1,10.1093/ej/uead102
Jiabin Fang,1,1,10.3386/w23928
Jiajun Han,1,1,10.3386/w23929
Jiakai Zhang,1,1,10.3386/w32728
Jiamin Wang,1,1,10.3386/w23928
Jiaming Wang,1,1,10.1257/aer.20221215
Jianan Yang,1,1,10.3386/w28726
Jianbo Huang,1,1,10.1257/aer.20221215
Jianfeng Guo,1,1,10.3386/w23928
Jiangyuan Liang,1,1,10.1257/aer.20221215
Jianhong Qi,1,1,10.1257/aer.20221215
Jiankun Gong,1,1,10.1093/ej/uead102
Jianshuo Chen,1,1,10.3386/w23928
Jiansong Tang,1,1,10.1257/aer.20221215
Jianyong Fan,1,1,10.3386/w31899
Jiaofeng Pan,1,1,10.3386/w23928
Jiaoyun Yang,1,1,10.3386/w30011
Jiaqi Liu,1,1,10.1257/aer.20221215
Jiaqi Zhang,1,1,10.1257/aer.20221215
Jiashun Huang,1,1,10.1257/aer.20221215
Jiawei Gao,1,1,10.3386/w23928
Jiayi Yan,1,1,10.1257/aer.20221215
Jiayin Zhu,1,1,10.1257/aer.20221215
Jicai Liu,1,1,10.1257/aer.20221215
Jidong Chen,1,1,10.1257/aer.20221215
Jie Gao,1,1,10.3386/w23928
Jie Lai,1,1,10.1257/aer.20221215
Jie Zheng,1,1,10.1257/aer.20221215
Jiefeng Kang,1,1,10.1111/conl.13077
Jie‐Sheng Tan‐Soo,1,1,10.3386/w32728
Jignesh Chandarana,1,1,10.3386/w23928
Jigyasa Kaur,1,1,10.3386/w30011
Jill Hoiting,1,1,10.2139/ssrn.4154000
Jin Shi,1,1,10.3386/w31137
Jin Xiao,1,1,10.1257/aer.20221215
Jin Ze-hu,1,1,10.1257/aer.20221215
Jin-Feng Huang,1,1,10.3386/w23928
Jincheng Li,1,1,10.1257/aer.20221215
Jinchi Dong,1,1,10.1257/aer.20221215
Jinfeng Liang,1,1,10.3386/w23928
Jing Lu,1,1,10.1257/aer.20221215
Jing Niu,1,1,10.3386/w23928
Jing Ren,1,1,10.1257/aer.20221215
Jing Xie,1,1,10.1257/aer.20221215
Jing Zhao,1,1,10.1257/aer.20221215
Jingbing Feng,1,1,10.1257/aer.20221215
Jinglei Huang,1,1,10.3386/w23928
Jinglong Chen,1,1,10.3386/w23928
Jingwei Ni,1,1,10.3386/w31137
Jingya Qian,1,1,10.1257/aer.20221215
Jinlan Ni,1,1,10.1257/aer.20221215
Jinli Wang,1,1,10.1257/aer.20221215
Jinmin Wang,1,1,10.1257/aer.20221215
Jintao Fu,1,1,10.1257/aer.20221215
Jinting Dong,1,1,10.1257/aer.20221215
Jize Jiang,1,1,10.1257/aer.20221215
Jiří Trešl,1,1,10.3386/w31137
Joan Manuel Rodríguez-Díaz,1,1,10.3386/w30835
Joan Martínez Alier,1,1,10.3386/w32450
Joanna Wang,1,1,10.3386/w23928
Joaquin A. Montell,1,1,10.3386/w23928
Jocelyn Kelley,1,1,10.3386/w30011
Jocelyn Kelly,1,1,10.3386/w30011
Jochen Monstadt,1,1,10.1257/aer.20221215
Joe Dodd,1,1,10.3386/w30011
Joel Hestness,1,1,10.3386/w23928
Joel McGuire,1,1,10.3386/w28106
Joel Shapiro,1,1,10.3386/w31137
Joern Fischer,1,1,10.21203/rs.3.rs-3235955/v1
Johan Karlsson,1,1,10.3386/w26752
Johan Rockström,1,1,10.3386/w32450
Johan de Jong,1,1,10.21203/rs.3.rs-3235955/v1
Johanna Hedlund,1,1,10.1016/j.ijdrr.2022.102798
Johannes A. Jacobs,1,1,10.3386/w32450
Johannes Jaspersen,1,1,10.3386/w31137
Johannes Klausmann,1,1,10.3386/w31137
Johannes König,1,1,10.3386/w23928
Johannes Wimmer,1,1,10.1093/ej/uead102
Johannes Zimmermann,1,1,10.3386/w30011
John A. Maluccio,1,1,10.3386/w31162
John A. Roper,1,1,10.3386/w32450
John F. Rauthmann,1,1,10.3386/w30011
John Floretta,1,1,10.3386/w28726
John Gathergood,1,1,10.3386/w30740
John Herbohn,1,1,10.21203/rs.3.rs-3235955/v1
John Hoddinott,1,1,10.3386/w28106
John L. Campbell,1,1,10.3386/w23928
John Manuel Barrios,1,1,10.3386/w23928
John Quattrochi,1,1,10.3386/w28106
John R. Weisz,1,1,10.3386/w28106
John Zhuang Liu HKU,1,1,10.1257/aer.20221215
John‐Oliver Engler,1,1,10.1016/j.ijdrr.2022.102798
Jon Bielby,1,1,10.1111/conl.13077
Jon Kleinberg,1,1,10.3386/w23928
Jon Kvist,1,1,10.2139/ssrn.4154000
Jonas Antanavičius,1,1,10.3386/w31899
Jonas B. Sandbrink,1,1,10.1257/pandp.20201017
Jonas Krogh Madsen,1,1,10.2139/ssrn.4154000
Jonas Meckling,1,1,10.3386/w26775
Jonas Schuett,1,1,10.48550/arxiv.2305.07153
Jonathan Goupille-Lebret,1,1,10.3386/w23928
Jonathan Morduch,1,1,10.3386/w23929
Jonathan Sotsky,1,1,10.3386/w31409
Jonathan Wai,1,1,10.3386/w26752
Jonathan Wittau,1,1,10.3386/w26752
Jordy Rillaerts,1,1,10.3386/w31137
Jorge A. Meave,1,1,10.21203/rs.3.rs-3235955/v1
Jorge Britto,1,1,10.3386/w23928
Joschka Flintz,1,1,10.3386/w32728
Jose Manuel Ochoa‐Quintero,1,1,10.21203/rs.3.rs-3235955/v1
Joseph Bamidele Awotunde,1,1,10.3386/w23928
Joseph E. Aldy,1,1,10.3386/w26775
Joseph E. Stiglitz,1,1,10.3386/w23928
Joseph H. Davis,1,1,10.3386/w23928
Joseph Karguia,1,1,10.3386/w28726
Joseph Nyaga,1,1,10.3386/w28106
Joseph Shapiro,1,1,10.3386/w32728
Joseph Simbaya,1,1,10.3386/w28106
Joseph W. Bull,1,1,10.3386/w31137
Joseph Zeira,1,1,10.3386/w23928
Josep‐Oriol Escardíbul,1,1,10.3386/w23928
Josh Greenberg,1,1,10.3386/w31409
Joshua D. Lambert,1,1,10.1016/j.ijdrr.2022.102798
Joshua Teperowski Monrad,1,1,10.1257/pandp.20201017
Josie Coburn,1,1,10.3386/w31409
José Hernández‐Orallo,1,1,10.3386/w26752
José R. Suárez-López,1,1,10.3386/w32450
José Rômulo de Castro Vieira,1,1,10.3386/w23928
José Vicente Sancho Escrivá,1,1,10.3386/w23928
João Carlos Ferraz,1,1,10.3386/w23928
Juan Li,1,1,10.3386/w23928
Juan Manuel Guío,1,1,10.3386/w23928
Juan Manuel Hernández-Agramonte,1,1,10.3386/w31208
Juan Mateos-García,1,1,10.3386/w23928
Juan Pablo Chauvin,1,1,10.3386/w30624
Juanjuan Meng,1,1,10.3386/w23928
Jukka Riekki,1,1,10.3386/w26752
Julia Lane,1,1,10.3386/w31409
Julia Sweatman,1,1,10.3386/w26775
Julia Torracca,1,1,10.3386/w23928
Julia Vaillant,1,1,10.3386/w28106
Julian Hazell,1,1,10.48550/arxiv.2305.07153
Julian M. Alston,1,1,10.1257/pandp.20201017
Juliane Degner,1,1,10.3386/w30011
Julie Chytilová,1,1,10.3386/w28726
Julie Djiriguian,1,1,10.3386/w23928
Julien‐François Gerber,1,1,10.3386/w32450
Julieta Vera Rueda,1,1,10.3386/w31162
Julio González-Díaz,1,1,10.3386/w26752
Julius Dohbit Sama,1,1,10.3386/w28726
Jun Bi,1,1,10.1257/aer.20221215
Jun Li,1,1,10.3386/w32728
Jungkyu Suh,1,1,10.3386/w31899
Junli Cheng,1,1,10.3386/w23929
Junling Huang,1,1,10.1257/aer.20221215
Junming Chen,1,1,10.1257/aer.20221215
Junyan Zhang,1,1,10.3386/w26752
Junyi Feng,1,1,10.3386/w31137
Junyin Tan,1,1,10.3386/w23928
Jérémy Scheurer,1,1,10.48550/arxiv.2305.07153
Jörn R. Sparfeldt,1,1,10.3386/w30011
K. Banskota,1,1,10.3386/w31137
K. K. Mahajan,1,1,10.1257/aeri.20230431
K. Sowmya,1,1,10.3386/w23928
K.P. Prabheesh,1,1,10.3386/w32450
Kai Lin,1,1,10.3386/w23928
Kai Xu,1,1,10.1257/aer.20221215
Kaida Liang,1,1,10.1093/wbro/lkae010
Kaidong Yu,1,1,10.1093/ej/uead102
Kairan Liu,1,1,10.3386/w23928
Kaiyuan Xiao,1,1,10.1257/aer.20221215
Kaja Kinga Jasińska,1,1,10.2139/ssrn.4154000
Kalipso Chalkidou,1,1,10.1257/pandp.20201017
Kalle Hirvonen,1,1,10.3386/w28106
Kalpana Balakrishnan,1,1,10.3386/w32450
Kamel Helali,1,1,10.3386/w23928
Kamiar Mohaddes,1,1,10.3386/w32450
Kamlesh Narwani,1,1,10.3386/w23928
Kangyin Dong,1,1,10.1257/aer.20221215
Kantika Khanthawithoon,1,1,10.3386/w23928
Kaoutar Sefrioui Boujemaa,1,1,10.3386/w23928
Kara Kedrick,1,1,10.3386/w26752
Karen Liseth Atis Ortega,1,1,10.3386/w23928
Karen Macours,1,1,10.3386/w31162
Kari Heimonen,1,1,10.3386/w31137
Karlina Indraswari,1,1,10.1111/conl.13077
Karrie A.B. Walker,1,1,10.1257/pandp.20201017
Kartik Anand,1,1,10.3386/w31137
Kat Adams Shannon,1,1,10.2139/ssrn.4154000
Katarzyna Lipowska,1,1,10.1093/ej/uead102
Kate Schwartz,1,1,10.3386/w31208
Kateryna Shatnenko,1,1,10.1257/aeri.20210612
Katharina Szota,1,1,10.3386/w30011
